CompanySymbol,Company Name,TotalEsgScore,EnvironmentRiskScore,SocialRiskScore,GovernanceRiskScore,EsgRatingYear
@ANADOLU CAM,ANADOLU CAM,,,,,
BOY.L,BODYCOTE PLC,,,,,
MGAM.L,MORGAN ADVANCED MATERIALS,,,,,
VSVS.L,VESUVIUS PLC,,,,,
TREL-B.ST,TRELLEBORG AB,29.34,8.5,14.06,6.78,2022.0
AACA.SG,AALBERTS NV,,,,,
@DATWYLER HOLDING AG,DATWYLER HOLDING AG,,,,,
WEIR.L,WEIR GROUP PLC,23.47,6.22,12.7,4.55,2022.0
SKF-B.ST,SKF AB,24.29,5.14,11.41,7.75,2022.0
AS4.BE,CORTICEIRA AMORIM SGPS SA,,,,,
NOEJ.DE,NORMA GROUP SE,,,,,
SAND.ST,SANDVIK AB,23.21,6.99,10.24,5.97,2022.0
HDD.DE,HEIDELBERGER DRUCKMASCHINEN,,,,,
SUN.SW,SULZER LTD,,,,,
SCHN.SW,SCHINDLER HOLDING AG,,,,,
0IKJ.IL,WARTSILA OYJ ABP,21.03,4.88,9.43,6.72,2022.0
@SURTECO SE,SURTECO SE,,,,,
BRBOF,BREMBO SPA,,,,,
TIFS.L,TI FLUID SYSTEMS PLC,,,,,
CAD.SG,CIE AUTOMOTIVE SA,,,,,
GEF.F,SOGEFI SPA,,,,,
SHA.DE,SCHAEFFLER AG,8.83,,,,2022.0
0ROM.IL,GESTAMP AUTOMOCION SA,,,,,
CON.DE,CONTINENTAL AG,15.71,1.89,7.65,6.18,2022.0
FR.PA,VALEO SE,10.59,1.85,3.09,5.65,2022.0
ALV,AUTOLIV INC,16.95,4.87,5.13,6.94,2022.0
POM.PA,COMPAGNIE PLASTIC OMNIUM SE,,,,,
FAU.BE,FAURECIA SE,10.97,1.43,4.06,5.47,2022.0
LEO.DE,LEONI AG,,,,,
CNHI,CNH INDUSTRIAL NV,16.61,5.28,4.55,6.78,2022.0
DOM.ST,DOMETIC GROUP AB,,,,,
BAYN.DE,BAYER AG,29.88,3.99,18.55,7.34,2022.0
REC.VI,RECORDATI SPA,28.42,3.27,16.38,8.77,2022.0
@STADA ARZNEIMITTEL AG,STADA ARZNEIMITTEL AG,,,,,
FMS,FRESENIUS MEDICAL CARE AG&CO,,,,,
FRE.DE,FRESENIUS SE & CO KGAA,19.7,0.07,10.71,8.93,2022.0
@MERCK KOMMANDITGESELLSCHAFT,MERCK KOMMANDITGESELLSCHAFT,,,,,
SNY,SANOFI,,,,,
GSK,GSK PLC,,,,,
NVS,NOVARTIS AG,,,,,
34D.SG,DIASORIN SPA,,,,,
AZN,ASTRAZENECA PLC,,,,,
SOON.SW,SONOVA HOLDING AG,17.23,2.43,8.63,6.18,2022.0
RHHBY,ROCHE HOLDING AG,,,,,
VIFN.SW,VIFOR PHARMA AG,26.98,3.29,16.33,7.36,2022.0
@HALDEX AB,HALDEX AB,,,,,
VOS.DE,VOSSLOH AG,,,,,
PIA.MI,PIAGGIO & C SPA,,,,,
VOW3.DE,VOLKSWAGEN AG,29.75,8.23,10.17,11.35,2022.0
2FE.MU,FERRARI NV,24.64,6.05,12.19,6.4,2022.0
@KION GROUP GMBH,KION GROUP GMBH,,,,,
RNO.PA,RENAULT SA,22.96,7.02,8.99,6.95,2022.0
PAL.VI,PALFINGER AG,,,,,
WAC.DE,WACKER NEUSON SE,,,,,
BMW.DE,BAYER MOTOREN WERKE AG,23.14,6.46,7.52,9.17,2022.0
MBG.DE,MERCEDES-BENZ GROUP AG,22.78,8.0,7.27,7.5,2022.0
ALO.PA,ALSTOM SA,19.18,3.4,8.93,6.85,2022.0
VOLV-B.ST,VOLVO AB,22.83,5.16,8.79,8.89,2022.0
STX,SEAGATE TECHNOLOGY HOLDINGS,10.66,1.59,3.8,5.26,2021.0
0NIG.L,SABAF SPA,,,,,
SK.PA,SEB SA,17.6,6.04,5.08,6.48,2022.0
TEL,TE CONNECTIVITY LTD,15.93,6.42,4.87,4.64,2022.0
HUSQF,HUSQVARNA AB,,,,,
ELUX-B.ST,ELECTROLUX AB,16.98,5.16,7.58,4.23,2022.0
SGL.DE,SGL CARBON SE,,,,,
MRN.PA,MERSEN,,,,,
PRYMF,PRYSMIAN SPA,21.41,6.34,9.77,5.3,2022.0
ETN,EATON CORP PLC,17.85,5.37,6.76,5.72,2022.0
NEX.PA,NEXANS,,,,,
ABB,ABB LTD,,,,,
HUBN.SW,HUBER & SUHNER AG,,,,,
ZAG.VI,ZUMTOBEL GROUP AG,,,,,
ERIC,TELEFONAKTIEBOLAGET LM ERICS,,,,,
2PI.MU,PIRELLI & C SPA,,,,,
TYRES.HE,NOKIAN RENKAAT OYJ,12.26,3.29,2.93,6.04,2022.0
COA.L,COATS GROUP PLC,,,,,
EL.PA,ESSILORLUXOTTICA,19.68,2.17,9.59,7.91,2022.0
PNDORA.CO,PANDORA AS,12.08,1.1,6.35,4.64,2022.0
@TOD'S GROUP SPA,TOD'S GROUP SPA,,,,,
KER.PA,KERING,10.71,0.86,4.86,5.0,2022.0
LNZ.VI,LENZING AG,,,,,
@ALRO SLATINA,ALRO SLATINA,,,,,
PAF.L,PAN AFRICAN RESOURCES PLC,,,,,
NHYDY,NORSK HYDRO ASA,,,,,
@PETROPAVLOVSK PLC,PETROPAVLOVSK PLC,,,,,
0R9X.IL,GRANGES AB,,,,,
OCINF,OCI NV,,,,,
@STAGECOACH GROUP PLC,STAGECOACH GROUP PLC,,,,,
FGP.L,FIRSTGROUP PLC,,,,,
NEX.L,NATIONAL EXPRESS GROUP PLC,,,,,
GET.PA,GETLINK SE,,,,,
AU9.F,ATLANTIA SPA,8.82,1.1,4.13,3.59,2022.0
REDD.L,REDDE NORTHGATE PLC,,,,,
@EUROPCAR MOBILITY GROUP S.A,EUROPCAR MOBILITY GROUP S.A,,,,,
@AGGREKO PLC,AGGREKO PLC,,,,,
@INTERCONTINENTAL HOTELS GRP,INTERCONTINENTAL HOTELS GRP,,,,,
AC.PA,ACCOR SA,18.35,6.83,7.24,4.28,2022.0
ELISA.HE,ELIS,17.77,3.25,8.9,5.61,2022.0
@MELIA HOTELS INTL SA,MELIA HOTELS INTL SA,,,,,
0OHG.L,NH HOTEL GROUP SA,,,,,
MARS.L,MARSTONS PLC,,,,,
MAB.L,MITCHELLS & BUTLER PLC,,,,,
@WETHERSPOON (JD) PLC,WETHERSPOON (JD) PLC,,,,,
GRG.L,GREGGS PLC,,,,,
WTB.L,WHITBREAD PLC,17.78,8.14,6.55,3.09,2022.0
0RNO.IL,PROSEGUR CASH SA,,,,,
BB.PA,BIC SA,24.04,8.45,8.09,7.5,2022.0
RTN.L,RESTAURANT GROUP PLC,,,,,
BAB.L,BABCOCK INTERNATIONAL GROUP,29.77,6.35,17.4,6.01,2022.0
@PROSEGUR (CIA DE SEGURIDAD),PROSEGUR (CIA DE SEGURIDAD),,,,,
DTY.L,DIGNITY PLC,,,,,
@G4S PLC,G4S PLC,,,,,
SSPPF,SSP GROUP PLC,,,,,
PNDX-B.ST,PANDOX AB,,,,,
@AA PLC,AA PLC,,,,,
DOM.L,DOMINO'S PIZZA GROUP PLC,,,,,
SHOT.ST,SCANDIC HOTELS GROUP AB,,,,,
SPIE.PA,SPIE,,,,,
@EI GROUP PLC,EI GROUP PLC,,,,,
CAV1V.HE,CAVERION OYJ,,,,,
SECU-B.ST,SECURITAS AB,12.47,0.91,5.97,5.58,2022.0
HSV.L,HOMESERVE PLC,,,,,
GLO.PA,GL EVENTS,,,,,
ISS.CO,ISS A/S,14.08,2.16,7.13,4.79,2022.0
EDEN.PA,EDENRED SA,,,,,
PAY.L,PAYPOINT PLC,,,,,
SW.PA,SODEXO,23.22,4.76,13.02,5.44,2022.0
@ENCE ENERGIA & CELULOSA,ENCE ENERGIA & CELULOSA,,,,,
UPM.HE,UPM-KYMMENE CORP,14.69,7.89,2.83,3.97,2022.0
@METSA BOARD CORP,METSA BOARD CORP,,,,,
@MONDI PLC/LTD (GBR),MONDI PLC/LTD (GBR),,,,,
SKG.L,SMURFIT KAPPA GROUP PLC,11.07,7.46,0.78,2.83,2022.0
STERV.HE,STORA ENSO OYJ,15.93,9.23,2.52,4.18,2022.0
SMDS.L,SMITH DS PLC,12.91,8.31,1.58,3.02,2022.0
SOLB.BR,SOLVAY SA,24.16,12.75,5.21,6.2,2022.0
LXS.DE,LANXESS AG,27.35,13.43,4.89,9.02,2022.0
AKE.PA,ARKEMA,21.17,10.23,3.87,7.07,2022.0
KEMIRA.HE,KEMIRA OY,,,,,
BAS.DE,BASF SE,28.11,12.82,6.9,8.38,2022.0
CLLNY,CELLNEX TELECOM SA,,,,,
HLTOY,OTE - HELLENIC TELECOM ORG,,,,,
TEL.OL,TELENOR ASA,22.58,4.8,10.07,7.72,2022.0
TKA.VI,TELEKOM AUSTRIA AG,,,,,
KKPNY,KONINKLIJKE KPN NV,,,,,
TIIAY,TELECOM ITALIA SPA,,,,,
@VODAFONE GROUP PUBLIC LTD,VODAFONE GROUP PUBLIC LTD,,,,,
TELDF,TELEFONICA DEUTSCHLAND,12.44,1.79,6.08,4.57,2022.0
ELISA.HE,ELISA CORP,17.77,3.25,8.9,5.61,2022.0
TEL2-B.ST,TELE2 AB,,,,,
@EUSKALTEL SA,EUSKALTEL SA,,,,,
OJ=F,ORANGE,,,,,
DTE.DE,DEUTSCHE TELEKOM,16.3,2.6,7.75,5.95,2022.0
@HRVATSKI TELEKOM DD,HRVATSKI TELEKOM DD,,,,,
FNTN.DE,FREENET AG,,,,,
BT-A.L,BT GROUP PLC,17.0,2.0,8.23,6.77,2022.0
UTDI.DE,UNITED INTERNET AG,21.81,5.6,8.85,7.37,2022.0
TK6.SG,TALKTALK TELECOM GROUP PLC,,,,,
SCMN.SW,SWISSCOM AG,15.22,3.25,6.03,5.94,2022.0
EBRPY,EBRO FOODS SA,,,,,
TATE.L,TATE & LYLE PLC,,,,,
ATRAV.HE,ATRIA PLC,,,,,
0MKW.IL,VISCOFAN SA,,,,,
@MHP S.E,MHP S.E,,,,,
DVO.L,DEVRO PLC,,,,,
AGR.VI,AGRANA BETEILIGUNGS-AG,,,,,
ABF.L,ASSOCIATED BRITISH FOODS PLC,25.95,10.47,10.96,4.52,2022.0
AAK.ST,AAK AB,,,,,
UELKY,ULKER BISKUVI SANAYI AS,,,,,
SALM.OL,SALMAR ASA,,,,,
BAKK.L,BAKKAVOR GROUP PLC,,,,,
BON.PA,BONDUELLE,,,,,
HKSAV.HE,HKSCAN OYJ,,,,,
@FROMAGERIES BEL SA,FROMAGERIES BEL SA,,,,,
PFODF,PREMIER FOODS PLC,,,,,
BN.VI,DANONE SA,19.87,7.51,7.39,4.97,2022.0
@NESTLE SA/AG,NESTLE SA/AG,,,,,
CLA-B.ST,CLOETTA AB,,,,,
ORK.OL,ORKLA ASA,19.16,6.65,7.43,5.09,2022.0
SCST.ST,SCANDI STANDARD AB,,,,,
LISN.SW,CHOCOLADEFABRIKEN LINDT & SP,25.28,10.0,8.24,7.04,2022.0
BELL.SW,BELL FOOD GROUP AG,,,,,
